 ,IR ADC,RED ADC,GREEN ADC,BLUE ADC
64.95,440954,357381,0,0
65,437031,355292,0,0
65.05,435563,354565,0,0
65.1,435590,354570,0,0
65.15,435985,354828,0,0
65.2,436968,355353,0,0
65.25,437704,355742,0,0
65.3,437722,355712,0,0
65.35,437985,355768,0,0
65.4,438277,355902,0,0
65.45,439006,356256,0,0
65.5,439544,356539,0,0
65.55,440189,356909,0,0
65.6,440323,356928,0,0
65.65,441186,357357,0,0
65.7,441661,357617,0,0
65.75,442513,358054,0,0
65.8,442935,358260,0,0
65.85,438597,355679,0,0
65.9,435860,354200,0,0
65.95,434826,353695,0,0
66,434841,353721,0,0
66.05,435535,354097,0,0
66.1,436376,354565,0,0
66.15,436968,354803,0,0
66.2,436953,354809,0,0
66.25,437214,354904,0,0
66.3,437621,355044,0,0
66.35,438351,355421,0,0
66.4,438866,355724,0,0
66.45,439897,356230,0,0
66.5,440604,356619,0,0
66.55,441491,357052,0,0
66.6,441934,357298,0,0
66.65,442954,357777,0,0
66.7,443796,358233,0,0
66.75,441439,356697,0,0
66.8,436618,354114,0,0
66.85,434448,353025,0,0
66.9,434269,352927,0,0
66.95,434529,353095,0,0
67,435331,353492,0,0
67.05,436045,353825,0,0
67.1,436461,354039,0,0
67.15,436473,353985,0,0
67.2,436880,354234,0,0
67.25,437302,354428,0,0
67.3,438229,354958,0,0
67.35,438918,355222,0,0
67.4,439857,355765,0,0
67.45,440468,356012,0,0
67.5,441324,356526,0,0
67.55,441779,356683,0,0
67.6,442829,357209,0,0
67.65,443290,357505,0,0
67.7,440288,355567,0,0
67.75,435844,353202,0,0
67.8,434154,352348,0,0
67.85,434030,352320,0,0
67.9,434588,352648,0,0
67.95,435518,353124,0,0
68,436435,353605,0,0
68.05,436566,353679,0,0
68.1,436772,353706,0,0
68.15,437079,353912,0,0
68.2,437919,354286,0,0
68.25,438647,354711,0,0
68.3,439675,355236,0,0
68.35,440315,355583,0,0
68.4,441299,356030,0,0
68.45,441743,356297,0,0
68.5,442310,356544,0,0
68.55,442834,356835,0,0
68.6,442095,356235,0,0
68.65,437097,353508,0,0
68.7,434444,352154,0,0
68.75,434147,352002,0,0
68.8,434409,352187,0,0
68.85,435233,352631,0,0
68.9,436264,353125,0,0
68.95,436340,353157,0,0
69,436510,353186,0,0
69.05,436796,353356,0,0
69.1,437438,353709,0,0
69.15,438122,354053,0,0
69.2,439158,354574,0,0
69.25,439928,354990,0,0
69.3,440560,355311,0,0
69.35,440937,355523,0,0
69.4,441595,355807,0,0
69.45,442147,356162,0,0
69.5,438855,354100,0,0
69.55,435174,352148,0,0
69.6,433753,351405,0,0
69.65,433763,351429,0,0
69.7,434315,351828,0,0
69.75,435339,352314,0,0
69.8,435956,352632,0,0
69.85,435933,352615,0,0
69.9,436209,352737,0,0
69.95,436624,352938,0,0
70,437396,353347,0,0
70.05,438086,353696,0,0
70.1,439045,354201,0,0
70.15,439520,354403,0,0
70.2,440231,354797,0,0
70.25,440614,355002,0,0
70.3,441542,355464,0,0
70.35,441766,355569,0,0
70.4,436153,352336,0,0
70.45,433444,350902,0,0
70.5,432069,350188,0,0
70.55,431719,350035,0,0
70.6,431831,350108,0,0
70.65,432439,350428,0,0
70.7,432610,350492,0,0
70.75,432639,350516,0,0
70.8,432758,350555,0,0
70.85,433160,350795,0,0
70.9,433843,351160,0,0
70.95,434434,351432,0,0
71,435063,351719,0,0
71.05,435469,351930,0,0
71.1,436091,352282,0,0
71.15,436523,352464,0,0
71.2,437228,352805,0,0
71.25,437826,353131,0,0
71.3,434593,351173,0,0
71.35,431815,349694,0,0
71.4,430568,349080,0,0
71.45,430254,348903,0,0
71.5,430484,349067,0,0
71.55,431074,349380,0,0
71.6,431733,349607,0,0
71.65,431609,349464,0,0
71.7,431408,349221,0,0
71.75,430685,348792,0,0
71.8,429398,348050,0,0
71.85,427858,347224,0,0
71.9,424218,344962,0,0
71.95,420906,342579,0,0
72,410517,336220,0,0
72.05,386325,321505,0,0
72.1,372975,327224,0,0
72.15,494764,460023,0,0
72.2,499488,506284,0,0
72.25,485311,500162,0,0
72.3,352256,385024,0,0
72.35,155648,188416,0,0
72.4,57257,59522,0,0
72.45,52051,54597,0,0
72.5,53046,55742,0,0
72.55,49455,51915,0,0
72.6,40726,42341,0,0
72.65,30301,31018,0,0
72.7,19288,18959,0,0
72.75,13812,13075,0,0
72.8,8854,7807,0,0
72.85,6583,5304,0,0
72.9,4478,3124,0,0
72.95,4270,2931,0,0
73,4157,2809,0,0
73.05,4196,2877,0,0
73.1,4122,2792,0,0
73.15,4173,2875,0,0
73.2,4110,2794,0,0
73.25,4184,2865,0,0
73.3,4122,2788,0,0
73.35,4179,2868,0,0
73.4,4120,2817,0,0
73.45,4163,2869,0,0
73.5,4102,2801,0,0
73.55,4168,2853,0,0
73.6,4090,2783,0,0
73.65,4168,2859,0,0
73.7,4094,2777,0,0
73.75,4146,2851,0,0
73.8,4079,2793,0,0
73.85,4149,2855,0,0
73.9,4080,2780,0,0
73.95,4156,2846,0,0
74,4071,2784,0,0
74.05,4140,2843,0,0
74.1,4069,2774,0,0
74.15,4134,2843,0,0
74.2,4092,2763,0,0
74.25,4157,2843,0,0
74.3,4082,2759,0,0
74.35,4148,2819,0,0
74.4,4085,2741,0,0
74.45,4164,2817,0,0
74.5,4093,2732,0,0
74.55,4161,2810,0,0
74.6,4076,2723,0,0
74.65,4167,2809,0,0
74.7,4084,2732,0,0
74.75,4160,2813,0,0
74.8,4091,2750,0,0
74.85,4141,2817,0,0
74.9,4078,2757,0,0
74.95,4151,2825,0,0
75,4079,2753,0,0
75.05,4153,2819,0,0
75.1,4075,2748,0,0
75.15,4148,2838,0,0
75.2,4061,2752,0,0
75.25,4138,2823,0,0
75.3,4049,2748,0,0
75.35,4138,2809,0,0
75.4,4051,2752,0,0
75.45,4119,2817,0,0
75.5,4031,2739,0,0
75.55,4108,2802,0,0
75.6,4030,2745,0,0
75.65,4110,2805,0,0
75.7,4032,2744,0,0
75.75,4112,2797,0,0
75.8,4031,2738,0,0
75.85,4107,2806,0,0
75.9,4034,2738,0,0
75.95,4125,2785,0,0
76,4048,2728,0,0
76.05,4116,2783,0,0
76.1,4052,2719,0,0
